
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, -1.59759462e-001, 3.99999991e-002, 1.29687464e+000
1.99999996e-002, -1.60960659e-001, 3.99999991e-002, 1.29378510e+000
1.99999996e-002, -1.62161857e-001, 3.99999991e-002, 1.29076147e+000
1.99999996e-002, -1.63363054e-001, 3.99999991e-002, 1.28320682e+000
1.99999996e-002, -1.64564252e-001, 3.99999991e-002, 1.27455461e+000
1.99999996e-002, -1.65765449e-001, 3.99999991e-002, 1.26590514e+000
1.99999996e-002, -1.66966647e-001, 3.99999991e-002, 1.25725830e+000
1.99999996e-002, -1.68167844e-001, 3.99999991e-002, 1.24861443e+000
1.99999996e-002, -1.69369042e-001, 3.99999991e-002, 1.23997366e+000
1.99999996e-002, -1.70570239e-001, 3.99999991e-002, 1.23133588e+000
1.99999996e-002, -1.71771437e-001, 3.99999991e-002, 1.22270131e+000
1.99999996e-002, -1.72972634e-001, 3.99999991e-002, 1.21451497e+000
1.99999996e-002, -1.74173832e-001, 3.99999991e-002, 1.20691693e+000
1.99999996e-002, -1.75375029e-001, 3.99999991e-002, 1.19932103e+000
1.99999996e-002, -1.76576227e-001, 3.99999991e-002, 1.19172776e+000
1.99999996e-002, -1.77777424e-001, 3.99999991e-002, 1.18413675e+000
1.99999996e-002, -1.78978622e-001, 3.99999991e-002, 1.17654812e+000
1.99999996e-002, -1.80179819e-001, 3.99999991e-002, 1.16896200e+000
1.99999996e-002, -1.81381017e-001, 3.99999991e-002, 1.16137838e+000
1.99999996e-002, -1.82582214e-001, 3.99999991e-002, 1.15382504e+000
1.99999996e-002, -1.83783412e-001, 3.99999991e-002, 1.14674187e+000
1.99999996e-002, -1.84984609e-001, 3.99999991e-002, 1.13966894e+000
1.99999996e-002, -1.86185807e-001, 3.99999991e-002, 1.13260698e+000
1.99999996e-002, -1.87387004e-001, 3.99999991e-002, 1.12555528e+000
1.99999996e-002, -1.88588202e-001, 3.99999991e-002, 1.11851466e+000
1.99999996e-002, -1.89789400e-001, 3.99999991e-002, 1.11148524e+000
1.99999996e-002, -1.90990597e-001, 3.99999991e-002, 1.10446703e+000
1.99999996e-002, -1.92191795e-001, 3.99999991e-002, 1.09746027e+000
1.99999996e-002, -1.93392992e-001, 3.99999991e-002, 1.08629155e+000
1.99999996e-002, -1.94594190e-001, 3.99999991e-002, 1.07321095e+000
1.99999996e-002, -1.95795387e-001, 3.99999991e-002, 1.06026065e+000
1.99999996e-002, -1.96996585e-001, 3.99999991e-002, 1.04744518e+000
1.99999996e-002, -1.98197782e-001, 3.99999991e-002, 1.03477001e+000
1.99999996e-002, -1.99398980e-001, 3.99999991e-002, 1.02224016e+000
1.99999996e-002, -2.00600177e-001, 3.99999991e-002, 1.00986087e+000
1.99999996e-002, -2.01801375e-001, 3.99999991e-002, 9.97637868e-001
1.99999996e-002, -2.03002572e-001, 3.99999991e-002, 9.83382046e-001
1.99999996e-002, -2.04203770e-001, 3.99999991e-002, 9.64309275e-001
1.99999996e-002, -2.05404967e-001, 3.99999991e-002, 9.45772052e-001
1.99999996e-002, -2.06606165e-001, 3.99999991e-002, 9.27802622e-001
1.99999996e-002, -2.07807362e-001, 3.99999991e-002, 9.10434723e-001
1.99999996e-002, -2.09008560e-001, 3.99999991e-002, 8.93703222e-001
