
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
9.99999978e-003, -1.71771437e-001, 5.00000007e-002, 7.84477770e-001
9.99999978e-003, -1.72972634e-001, 5.00000007e-002, 7.93525517e-001
9.99999978e-003, -1.74173832e-001, 5.00000007e-002, 7.97513247e-001
9.99999978e-003, -1.75375029e-001, 5.00000007e-002, 8.01596999e-001
9.99999978e-003, -1.76576227e-001, 5.00000007e-002, 8.05775285e-001
9.99999978e-003, -1.77777424e-001, 5.00000007e-002, 8.10046613e-001
9.99999978e-003, -1.78978622e-001, 5.00000007e-002, 8.14409673e-001
9.99999978e-003, -1.80179819e-001, 5.00000007e-002, 8.18862855e-001
9.99999978e-003, -1.81381017e-001, 5.00000007e-002, 8.23404729e-001
9.99999978e-003, -1.82582214e-001, 5.00000007e-002, 8.28033924e-001
9.99999978e-003, -1.83783412e-001, 5.00000007e-002, 8.12968731e-001
9.99999978e-003, -1.84984609e-001, 5.00000007e-002, 7.94617116e-001
9.99999978e-003, -1.86185807e-001, 5.00000007e-002, 7.76757121e-001
9.99999978e-003, -1.87387004e-001, 5.00000007e-002, 7.59423316e-001
9.99999978e-003, -1.88588202e-001, 5.00000007e-002, 7.42652416e-001
9.99999978e-003, -1.89789400e-001, 5.00000007e-002, 7.26483643e-001
9.99999978e-003, -1.90990597e-001, 5.00000007e-002, 7.10957944e-001
9.99999978e-003, -1.92191795e-001, 5.00000007e-002, 6.96118116e-001
9.99999978e-003, -1.93392992e-001, 5.00000007e-002, 6.76837862e-001
9.99999978e-003, -1.94594190e-001, 5.00000007e-002, 6.52981818e-001
9.99999978e-003, -1.95795387e-001, 5.00000007e-002, 6.30716980e-001
9.99999978e-003, -1.96996585e-001, 5.00000007e-002, 6.10217750e-001
9.99999978e-003, -1.98197782e-001, 5.00000007e-002, 5.91667414e-001
9.99999978e-003, -1.99398980e-001, 5.00000007e-002, 5.75254738e-001
9.99999978e-003, -2.00600177e-001, 5.00000007e-002, 5.61167300e-001
9.99999978e-003, -2.01801375e-001, 5.00000007e-002, 5.49583793e-001
9.99999978e-003, -2.03002572e-001, 5.00000007e-002, 5.40806293e-001
9.99999978e-003, -2.04203770e-001, 5.00000007e-002, 5.36096275e-001
9.99999978e-003, -2.05404967e-001, 5.00000007e-002, 5.34119010e-001
9.99999978e-003, -2.06606165e-001, 5.00000007e-002, 5.34904599e-001
9.99999978e-003, -2.07807362e-001, 5.00000007e-002, 5.38441181e-001
9.99999978e-003, -2.09008560e-001, 5.00000007e-002, 5.44674993e-001
9.99999978e-003, -2.10209757e-001, 5.00000007e-002, 5.53515017e-001
9.99999978e-003, -2.11410955e-001, 5.00000007e-002, 5.64838886e-001
9.99999978e-003, -2.12612152e-001, 5.00000007e-002, 5.78500688e-001
9.99999978e-003, -2.13813350e-001, 5.00000007e-002, 5.93715608e-001
9.99999978e-003, -2.15014547e-001, 5.00000007e-002, 6.09824181e-001
9.99999978e-003, -2.16215745e-001, 5.00000007e-002, 6.26846731e-001
9.99999978e-003, -2.17416942e-001, 5.00000007e-002, 6.44710720e-001
9.99999978e-003, -2.18618140e-001, 5.00000007e-002, 6.63348436e-001
9.99999978e-003, -2.19819337e-001, 5.00000007e-002, 6.82696164e-001
9.99999978e-003, -2.21020535e-001, 5.00000007e-002, 7.02695668e-001
9.99999978e-003, -2.22221732e-001, 5.00000007e-002, 7.23292410e-001
9.99999978e-003, -2.23422930e-001, 5.00000007e-002, 7.39381790e-001
9.99999978e-003, -2.24624127e-001, 5.00000007e-002, 7.46261775e-001
